invariant,kind,p_value,effect,mean_mismatch,mean_no_mismatch,recall,precision,necessary,sufficient
n_chain_nodes,continuous,2.4130877203273633e-96,-0.8224148777920848,18.93258426966292,2.921768707482993,,,,
max_chain_length,continuous,8.814912657799616e-82,-0.8103645952763128,2.752808988764045,1.1700680272108843,,,,
has_chain,boolean,6.020617818800785e-72,inf,,,1.0,0.10814094775212636,True,False
non_edges,continuous,1.6213107412736813e-70,-0.778469123172173,314.3876404494382,53.02537938252224,,,,
n_extension_edges,continuous,1.6213107412736813e-70,-0.778469123172173,314.3876404494382,53.02537938252224,,,,
mean_color_class_size,continuous,4.544043869917989e-65,-0.7522665937593707,3.6429864455145355,1.933664955603731,,,,
non_edge_ratio,continuous,7.832740676034695e-65,-0.7456299719542094,0.48797987364775836,0.19148634174975912,,,,
extension_edges_per_cherry,continuous,9.330488401036351e-63,-0.735814606741573,0.9759597472955167,0.3977504337867279,,,,
max_color_class_size,continuous,6.251803357512458e-59,-0.7015783841626537,5.595505617977528,3.020669806384092,,,,
n_leaves,continuous,1.9169327129420946e-57,-0.7064099624292242,23.764044943820224,11.348770277341705,,,,
density,continuous,8.693576052924276e-55,0.6887255334285831,0.43510032594016623,0.7212107911683816,,,,
n_base_cherry_nodes,continuous,9.023449716302902e-54,-0.6834750321909231,286.5561797752809,76.92386185243328,,,,
max_cross_pairs,continuous,9.023449716302902e-54,-0.6834750321909231,573.1123595505618,153.92203035060177,,,,
std_out_degree,continuous,1.4795259800101837e-53,-0.6793475384968162,2.9420714642918186,1.1696708709665813,,,,
std_in_degree,continuous,7.865506323069027e-48,-0.6417870518994115,4.405142791467813,2.0128348390830144,,,,
max_in_degree,continuous,5.450714062181674e-44,-0.6150318381458029,18.4438202247191,9.548403976975406,,,,
max_out_degree,continuous,7.796238167283235e-38,-0.5683858677438132,17.0561797752809,9.003139717425432,,,,
n_edges,continuous,8.90018804890574e-38,-0.5687724528013454,258.7247191011236,100.89665096807954,,,,
n_singleton_colors,continuous,6.560163793859364e-35,0.5401240011994426,0.9550561797752809,3.1028257456828885,,,,
std_color_class_size,continuous,1.1735384061732416e-32,-0.5244459927445482,1.23620151850325,0.6591103241252415,,,,
reciprocal_ratio,continuous,1.2458976096151028e-32,0.5176770794748322,0.3850388413459614,0.44358326450366325,,,,
reciprocity,continuous,1.2458976096151028e-32,0.5176770794748322,0.7700776826919228,0.8871665290073265,,,,
n_reciprocal_edges,continuous,1.9886112033331632e-29,-0.4985741919931326,103.75842696629213,44.10596546310832,,,,
mean_in_degree,continuous,8.178260182051829e-17,-0.3686992515242917,9.488196320292277,6.70717426699146,,,,
mean_out_degree,continuous,8.178260182051829e-17,-0.3686992515242917,9.488196320292277,6.70717426699146,,,,
n_nontrivial_scc,continuous,1.4272349168363634e-11,-0.15630824499203322,1.4213483146067416,1.1465201465201464,,,,
n_colors,continuous,1.8778460292875178e-05,-0.18828015216458227,6.780898876404494,5.936420722135008,,,,
n_isolated_leaves,boolean,1.0,,,,0.0,,False,False
