n_leaves,n_colors,n_edges,max_cross_pairs,non_edges,non_edge_ratio,mean_out_degree,std_out_degree,max_out_degree,mean_in_degree,std_in_degree,max_in_degree,n_isolated_leaves,max_color_class_size,mean_color_class_size,std_color_class_size,n_singleton_colors,n_reciprocal_edges,reciprocal_ratio,density,reciprocity,n_nontrivial_scc,n_base_cherry_nodes,n_extension_edges,n_chain_nodes,has_chain,max_chain_length,extension_edges_per_cherry,n_false_positive_edges,n_false_negative_edges,num_species,num_hybridizations,mismatch
3,3,6,6,0,0.0,2.0,0.0,2,2.0,0.0,2,0,1,1.0,0.0,3,3,0.5,1.0,1.0,1,3,0,0,False,0,0.0,0,0,3,1,False
10,5,56,76,20,0.2631578947368421,5.6,0.8,7,5.6,2.8000000000000003,9,0,3,2.0,0.8944271909999159,2,24,0.42857142857142855,0.6222222222222222,0.8571428571428571,1,38,20,0,False,1,0.5263157894736842,0,0,5,3,False
7,3,20,32,12,0.375,2.857142857142857,0.6388765649999399,4,2.857142857142857,1.4568627181693672,4,0,3,2.3333333333333335,0.4714045207910317,0,6,0.3,0.47619047619047616,0.6,2,16,12,2,True,2,0.75,0,0,3,4,False
13,8,118,146,28,0.1917808219178082,9.076923076923077,0.8284868934053085,10,9.076923076923077,3.5617959700893,12,0,2,1.625,0.4841229182759271,3,49,0.4152542372881356,0.7564102564102564,0.8305084745762712,2,73,28,2,True,2,0.3835616438356164,0,0,8,4,False
15,7,133,190,57,0.3,8.866666666666667,2.4997777679003566,14,8.866666666666667,2.1561282171728307,14,0,3,2.142857142857143,0.6388765649999399,1,65,0.48872180451127817,0.6333333333333333,0.9774436090225563,1,95,57,0,False,1,0.6,0,0,7,5,False
9,7,64,68,4,0.058823529411764705,7.111111111111111,0.8748897637790901,8,7.111111111111111,1.0999438818457405,8,0,2,1.2857142857142858,0.45175395145262565,5,30,0.46875,0.8888888888888888,0.9375,1,34,4,1,True,2,0.11764705882352941,0,0,7,5,False
9,7,60,66,6,0.09090909090909091,6.666666666666667,0.4714045207910317,7,6.666666666666667,2.494438257849294,8,0,3,1.2857142857142858,0.6998542122237652,6,27,0.45,0.8333333333333334,0.9,1,33,6,0,False,1,0.18181818181818182,0,0,7,4,False
7,6,37,40,3,0.075,5.285714285714286,0.4517539514526256,6,5.285714285714286,1.3850513878332367,6,0,2,1.1666666666666667,0.3726779962499649,5,17,0.4594594594594595,0.8809523809523809,0.918918918918919,1,20,3,0,False,1,0.15,0,0,6,8,False
10,8,75,84,9,0.10714285714285714,7.5,0.806225774829855,9,7.5,2.4186773244895647,9,0,3,1.25,0.6614378277661477,7,33,0.44,0.8333333333333334,0.88,1,42,9,0,False,1,0.21428571428571427,0,0,8,5,False
4,3,9,10,1,0.1,2.25,0.4330127018922193,3,2.25,0.82915619758885,3,0,2,1.3333333333333333,0.4714045207910317,2,4,0.4444444444444444,0.75,0.8888888888888888,1,5,1,0,False,1,0.2,0,0,3,4,False
